filename,tree1,tree2,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,pop,n,fasttime,naivetime,bhvtime
simphyout/pop_6_n_20_1.newick,1,27,20,0,19,19,6,20,62,60,6573
simphyout/pop_6_n_20_1.newick,1,28,20,0,19,19,6,20,65,58,6695
simphyout/pop_6_n_20_1.newick,1,29,20,0,19,19,6,20,62,61,6601
simphyout/pop_6_n_20_1.newick,1,30,20,0,19,19,6,20,64,63,6568
simphyout/pop_6_n_20_1.newick,1,31,20,0,19,19,6,20,64,59,6570
simphyout/pop_6_n_20_1.newick,1,32,20,0,19,19,6,20,63,64,6925
simphyout/pop_6_n_20_1.newick,1,33,20,0,19,19,6,20,63,60,6887
simphyout/pop_6_n_20_1.newick,1,34,20,0,19,19,6,20,63,63,8721
simphyout/pop_6_n_20_1.newick,1,35,20,0,19,19,6,20,63,80,6734
simphyout/pop_6_n_20_1.newick,1,36,20,0,19,19,6,20,64,60,6271
simphyout/pop_6_n_20_1.newick,1,37,20,0,19,19,6,20,63,64,6264
simphyout/pop_6_n_20_1.newick,1,38,20,0,19,19,6,20,64,64,6942
simphyout/pop_6_n_20_1.newick,1,39,20,0,19,19,6,20,65,63,6816
simphyout/pop_6_n_20_1.newick,1,40,20,0,19,19,6,20,67,72,8464
simphyout/pop_6_n_20_1.newick,1,41,20,0,19,19,6,20,67,59,6322
simphyout/pop_6_n_20_1.newick,1,42,20,0,19,19,6,20,66,61,6218
simphyout/pop_6_n_20_1.newick,1,43,20,0,19,19,6,20,71,60,6172
simphyout/pop_6_n_20_1.newick,1,44,20,0,19,19,6,20,65,61,6714
simphyout/pop_6_n_20_1.newick,1,45,20,0,19,19,6,20,64,61,7475
simphyout/pop_6_n_20_1.newick,1,46,20,0,19,19,6,20,65,62,6731
simphyout/pop_6_n_20_1.newick,1,47,20,0,19,19,6,20,65,63,6320
simphyout/pop_6_n_20_1.newick,1,48,20,0,19,19,6,20,64,67,6446
simphyout/pop_6_n_20_1.newick,1,49,20,0,19,19,6,20,62,60,6893
simphyout/pop_6_n_20_1.newick,2,3,20,0,19,19,6,20,70,64,7008
simphyout/pop_6_n_20_1.newick,2,4,20,0,19,19,6,20,66,60,6867
simphyout/pop_6_n_20_1.newick,2,5,20,0,19,19,6,20,64,62,6500
simphyout/pop_6_n_20_1.newick,2,6,20,0,19,19,6,20,64,62,6577
simphyout/pop_6_n_20_1.newick,2,7,20,0,19,19,6,20,65,61,6889
simphyout/pop_6_n_20_1.newick,2,8,20,0,19,19,6,20,64,58,8619
simphyout/pop_6_n_20_1.newick,2,9,20,0,19,19,6,20,64,58,6831
simphyout/pop_6_n_20_1.newick,2,10,20,0,19,19,6,20,63,61,9638
simphyout/pop_6_n_20_1.newick,2,11,20,0,19,19,6,20,65,61,6240
simphyout/pop_6_n_20_1.newick,2,12,20,0,19,19,6,20,65,59,6717
simphyout/pop_6_n_20_1.newick,2,13,20,0,19,19,6,20,65,64,7579
simphyout/pop_6_n_20_1.newick,2,14,20,0,19,19,6,20,63,59,6674
simphyout/pop_6_n_20_1.newick,2,15,20,0,19,19,6,20,65,62,7552
simphyout/pop_6_n_20_1.newick,2,16,20,0,19,19,6,20,64,62,7279
simphyout/pop_6_n_20_1.newick,2,17,20,0,19,19,6,20,66,59,6227
simphyout/pop_6_n_20_1.newick,2,18,20,0,19,19,6,20,66,59,6902
simphyout/pop_6_n_20_1.newick,2,19,20,0,19,19,6,20,65,62,6930
simphyout/pop_6_n_20_1.newick,2,20,20,0,19,19,6,20,66,62,6429
simphyout/pop_6_n_20_1.newick,2,21,20,0,19,19,6,20,69,59,9127
simphyout/pop_6_n_20_1.newick,2,22,20,0,19,19,6,20,62,60,6236
simphyout/pop_6_n_20_1.newick,2,23,20,0,19,19,6,20,64,62,6687
simphyout/pop_6_n_20_1.newick,2,24,20,0,19,19,6,20,64,60,6460
simphyout/pop_6_n_20_1.newick,2,25,20,0,19,19,6,20,68,61,6560
simphyout/pop_6_n_20_1.newick,2,26,20,0,19,19,6,20,63,62,7426
simphyout/pop_6_n_20_1.newick,2,27,20,0,19,19,6,20,62,62,9067
simphyout/pop_6_n_20_1.newick,2,28,20,0,19,19,6,20,63,60,7215
simphyout/pop_6_n_20_1.newick,2,29,20,0,19,19,6,20,62,62,6817
simphyout/pop_6_n_20_1.newick,2,30,20,0,19,19,6,20,64,69,7141
simphyout/pop_6_n_20_1.newick,2,31,20,0,19,19,6,20,63,61,8127
simphyout/pop_6_n_20_1.newick,2,32,20,0,19,19,6,20,62,61,10808
simphyout/pop_6_n_20_1.newick,2,33,20,0,19,19,6,20,63,57,7136
simphyout/pop_6_n_20_1.newick,2,34,20,0,19,19,6,20,62,61,6962
simphyout/pop_6_n_20_1.newick,2,35,20,0,19,19,6,20,63,62,6972
simphyout/pop_6_n_20_1.newick,2,36,20,0,19,19,6,20,63,61,7509
simphyout/pop_6_n_20_1.newick,2,37,20,0,19,19,6,20,61,61,9933
simphyout/pop_6_n_20_1.newick,2,38,20,0,19,19,6,20,63,61,7793
