filename,tree1,tree2,time,nbleaves,nbedges,nbinternalnodes1,nbinternalnodes2,algo,pop,n
simphyout/pop_6_n_20_1.newick,1,31,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,32,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,33,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,34,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,35,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,36,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,37,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,38,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,39,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,40,67,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,41,67,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,42,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,43,71,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,44,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,45,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,46,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,47,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,48,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,1,49,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,3,70,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,4,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,5,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,6,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,7,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,8,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,9,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,10,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,11,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,12,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,13,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,14,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,15,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,16,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,17,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,18,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,19,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,20,66,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,21,69,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,22,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,23,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,24,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,25,68,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,26,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,27,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,28,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,29,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,30,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,31,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,32,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,33,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,34,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,35,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,36,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,37,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,38,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,39,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,40,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,41,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,42,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,43,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,44,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,45,62,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,46,69,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,47,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,48,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,2,49,61,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,4,74,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,5,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,6,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,7,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,8,65,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,9,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,10,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,11,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,12,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,13,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,14,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,15,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,16,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,17,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,18,64,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,19,63,20,0,19,19,fast,6,20
simphyout/pop_6_n_20_1.newick,3,20,64,20,0,19,19,fast,6,20
