filename,i,j,incidence_time,total_time
simphyout\pop_8_n_1000_1.newick,19,30,36683239,37043611
simphyout\pop_8_n_1000_1.newick,19,31,36076598,36414635
simphyout\pop_8_n_1000_1.newick,19,32,33632399,33984117
simphyout\pop_8_n_1000_1.newick,19,33,34611081,34919623
simphyout\pop_8_n_1000_1.newick,19,34,37687424,38065294
simphyout\pop_8_n_1000_1.newick,19,35,37685560,38013985
simphyout\pop_8_n_1000_1.newick,19,36,33370504,33698891
simphyout\pop_8_n_1000_1.newick,19,37,37809659,38175890
simphyout\pop_8_n_1000_1.newick,19,38,37805758,38168565
simphyout\pop_8_n_1000_1.newick,19,39,34169800,34470867
simphyout\pop_8_n_1000_1.newick,19,40,34546582,34913520
simphyout\pop_8_n_1000_1.newick,19,41,34792056,35154639
simphyout\pop_8_n_1000_1.newick,19,42,37648026,38007033
simphyout\pop_8_n_1000_1.newick,19,43,37100808,37450662
simphyout\pop_8_n_1000_1.newick,19,44,36441947,36777826
simphyout\pop_8_n_1000_1.newick,19,45,37126776,37480574
simphyout\pop_8_n_1000_1.newick,19,46,33182697,33542844
simphyout\pop_8_n_1000_1.newick,19,47,36854818,37192210
simphyout\pop_8_n_1000_1.newick,19,48,37416599,37749784
simphyout\pop_8_n_1000_1.newick,19,49,38220655,38543217
simphyout\pop_8_n_1000_1.newick,20,21,36967814,37335415
simphyout\pop_8_n_1000_1.newick,20,22,41700505,42050535
simphyout\pop_8_n_1000_1.newick,20,23,39883759,40228770
simphyout\pop_8_n_1000_1.newick,20,24,39506897,39868706
simphyout\pop_8_n_1000_1.newick,20,25,37633492,37977504
simphyout\pop_8_n_1000_1.newick,20,26,38062605,38397225
simphyout\pop_8_n_1000_1.newick,20,27,39249646,39609856
simphyout\pop_8_n_1000_1.newick,20,28,37944730,38299058
simphyout\pop_8_n_1000_1.newick,20,29,43269400,43634840
simphyout\pop_8_n_1000_1.newick,20,30,39980338,40299062
simphyout\pop_8_n_1000_1.newick,20,31,40305837,40679625
simphyout\pop_8_n_1000_1.newick,20,32,36854730,37251139
simphyout\pop_8_n_1000_1.newick,20,33,39349725,39662901
simphyout\pop_8_n_1000_1.newick,20,34,40194160,40572974
simphyout\pop_8_n_1000_1.newick,20,35,37112648,37462459
simphyout\pop_8_n_1000_1.newick,20,36,38336847,38702012
simphyout\pop_8_n_1000_1.newick,20,37,38171943,38529198
simphyout\pop_8_n_1000_1.newick,20,38,40412027,40763299
simphyout\pop_8_n_1000_1.newick,20,39,37376521,37743013
simphyout\pop_8_n_1000_1.newick,20,40,38790906,39109467
simphyout\pop_8_n_1000_1.newick,20,41,38535089,38863422
simphyout\pop_8_n_1000_1.newick,20,42,37239014,37610653
simphyout\pop_8_n_1000_1.newick,20,43,37501141,37856062
simphyout\pop_8_n_1000_1.newick,20,44,38957815,39313413
simphyout\pop_8_n_1000_1.newick,20,45,38186118,38556966
simphyout\pop_8_n_1000_1.newick,20,46,37803244,38149496
simphyout\pop_8_n_1000_1.newick,20,47,40372715,40744280
simphyout\pop_8_n_1000_1.newick,20,48,38655941,39007508
simphyout\pop_8_n_1000_1.newick,20,49,38455611,38821910
simphyout\pop_8_n_1000_1.newick,21,22,37338605,37659959
simphyout\pop_8_n_1000_1.newick,21,23,38301359,38639998
simphyout\pop_8_n_1000_1.newick,21,24,36963630,37318395
simphyout\pop_8_n_1000_1.newick,21,25,37064581,37406679
simphyout\pop_8_n_1000_1.newick,21,26,38077778,38447749
simphyout\pop_8_n_1000_1.newick,21,27,44695406,45072466
simphyout\pop_8_n_1000_1.newick,21,28,38356992,38720724
simphyout\pop_8_n_1000_1.newick,21,29,39831554,40175102
simphyout\pop_8_n_1000_1.newick,21,30,34627094,34999918
simphyout\pop_8_n_1000_1.newick,21,31,37705959,38053468
simphyout\pop_8_n_1000_1.newick,21,32,36441167,36780095
simphyout\pop_8_n_1000_1.newick,21,33,37379868,37743544
simphyout\pop_8_n_1000_1.newick,21,34,37584497,37910742
simphyout\pop_8_n_1000_1.newick,21,35,34970205,35350878
simphyout\pop_8_n_1000_1.newick,21,36,35412409,35786018
simphyout\pop_8_n_1000_1.newick,21,37,38179054,38521556
simphyout\pop_8_n_1000_1.newick,21,38,36617030,36966406
simphyout\pop_8_n_1000_1.newick,21,39,37944608,38306737
simphyout\pop_8_n_1000_1.newick,21,40,36775893,37131848
simphyout\pop_8_n_1000_1.newick,21,41,38493312,38858838
simphyout\pop_8_n_1000_1.newick,21,42,35385827,35698900
simphyout\pop_8_n_1000_1.newick,21,43,37962890,38324114
simphyout\pop_8_n_1000_1.newick,21,44,36527958,36886427
simphyout\pop_8_n_1000_1.newick,21,45,36979768,37318321
simphyout\pop_8_n_1000_1.newick,21,46,35142837,35464259
simphyout\pop_8_n_1000_1.newick,21,47,37340966,37673248
simphyout\pop_8_n_1000_1.newick,21,48,36172550,36546764
simphyout\pop_8_n_1000_1.newick,21,49,35978639,36354334
simphyout\pop_8_n_1000_1.newick,22,23,36963114,37292796
simphyout\pop_8_n_1000_1.newick,22,24,37058890,37412963
simphyout\pop_8_n_1000_1.newick,22,25,33427113,33793796
simphyout\pop_8_n_1000_1.newick,22,26,35431504,35784892
simphyout\pop_8_n_1000_1.newick,22,27,38054384,38387789
simphyout\pop_8_n_1000_1.newick,22,28,35192133,35542757
simphyout\pop_8_n_1000_1.newick,22,29,38133947,38493271
simphyout\pop_8_n_1000_1.newick,22,30,33745288,34108857
simphyout\pop_8_n_1000_1.newick,22,31,34250082,34570779
simphyout\pop_8_n_1000_1.newick,22,32,35564591,35889412
simphyout\pop_8_n_1000_1.newick,22,33,37612022,37966024
simphyout\pop_8_n_1000_1.newick,22,34,33562628,33936076
simphyout\pop_8_n_1000_1.newick,22,35,34550557,34892852
simphyout\pop_8_n_1000_1.newick,22,36,33691139,34039492
simphyout\pop_8_n_1000_1.newick,22,37,34083341,34472048
simphyout\pop_8_n_1000_1.newick,22,38,36692264,37025038
simphyout\pop_8_n_1000_1.newick,22,39,34223287,34581332
simphyout\pop_8_n_1000_1.newick,22,40,34065915,34424892
simphyout\pop_8_n_1000_1.newick,22,41,36447558,36856092
simphyout\pop_8_n_1000_1.newick,22,42,36596221,36970372
simphyout\pop_8_n_1000_1.newick,22,43,34644433,34997838
simphyout\pop_8_n_1000_1.newick,22,44,37030651,37392377
simphyout\pop_8_n_1000_1.newick,22,45,36745018,37105360
simphyout\pop_8_n_1000_1.newick,22,46,33896964,34255887
simphyout\pop_8_n_1000_1.newick,22,47,34177807,34521705
simphyout\pop_8_n_1000_1.newick,22,48,36181672,36545852
simphyout\pop_8_n_1000_1.newick,22,49,35465640,35800224
simphyout\pop_8_n_1000_1.newick,23,24,38388869,38756023
simphyout\pop_8_n_1000_1.newick,23,25,37351033,37700710
simphyout\pop_8_n_1000_1.newick,23,26,38465950,38846189
simphyout\pop_8_n_1000_1.newick,23,27,40076843,40403984
simphyout\pop_8_n_1000_1.newick,23,28,37747572,38096130
simphyout\pop_8_n_1000_1.newick,23,29,38111678,38475241
